X-Axis Position (GeV)    Bin Content(dsigma/dx)
         2.5                    0
         7.5                    0
        12.5                    0
        17.5                    0
        22.5                    0.00105613
        27.5                    0.00480538
        32.5                    0.00501661
        37.5                    0.0058087
        42.5                    0.00617835
        47.5                    0.00464696
        52.5                    0.00396048
        57.5                    0.00385487
        62.5                    0.00264032
        67.5                    0.00205945
        72.5                    0.00153139
        77.5                    0.00100332
        82.5                    0.00105613
        87.5                    0.000633677
        92.5                    0.00058087
        97.5                    0.000475258
       102.5                    0.000158419
       107.5                    0.000369645
       112.5                    0.000158419
       117.5                    0.000316838
       122.5                    5.28064e-05
       127.5                    0.000105613
       132.5                    5.28064e-05
       137.5                    0
       142.5                    0
       147.5                    0.000105613
       152.5                    0
       157.5                    0
       162.5                    0
       167.5                    0
       172.5                    0
       177.5                    5.28064e-05
       182.5                    0
       187.5                    5.28064e-05
       192.5                    5.28064e-05
       197.5                    0
       202.5                    0
       207.5                    0
       212.5                    0
       217.5                    0
       222.5                    0
       227.5                    0
       232.5                    0
       237.5                    0
       242.5                    0
       247.5                    0
       252.5                    0
       257.5                    0
       262.5                    0
       267.5                    0
       272.5                    0
       277.5                    0
       282.5                    0
       287.5                    0
       292.5                    0
       297.5                    0

 bins are 5 GeV wide 
 The Integral is 0.233932
 Number of entries = 886
 Number of bins = 60
 Note I am cutting off the first and last bins (over and under flow)
